epochs,batch_size,use_maxpool,use_averagepool,use_batchnorm,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
40,48,False,False,False,,,,,,,,,
40,48,False,False,False,0.00864968635142,0.997954726219,0.997954726219,0.997954726219,0.287639766932,0.957098782063,0.957098782063,0.957098782063,"[[2940  193]
 [ 128 3219]]"
40,48,True,False,False,0.167698144913,0.945419549942,0.945419549942,0.945419549942,0.138399958611,0.960339546204,0.960339546204,0.960339546204,"[[2856  277]
 [ 264 3083]]"
40,48,False,True,False,0.179913014174,0.93516933918,0.93516933918,0.93516933918,0.142491534352,0.955085635185,0.955085635185,0.955085635185,"[[2722  411]
 [ 311 3036]]"
40,48,False,False,True,1.99463951588,0.706835031509,0.706835031509,0.706835031509,1.62626421452,0.732716083527,0.732716083527,0.732716083527,"[[3048   85]
 [1817 1530]]"
40,48,True,False,True,3.27863764763,0.632919549942,0.632919549942,0.632919549942,3.03700017929,0.636419773102,0.636419773102,0.636419773102,"[[3103   30]
 [2390  957]]"
40,48,False,True,True,0.990218877792,0.521404087543,0.521404087543,0.521404087543,0.949609994888,0.545061767101,0.545061767101,0.545061767101,"[[ 186 2947]
 [  28 3319]]"
40,48,False,False,False,0.0177861060947,0.994482517242,0.994482517242,0.994482517242,0.356836229563,0.950000047684,0.950000047684,0.950000047684,"[[2773  360]
 [ 192 3155]]"
40,48,True,False,False,,,,,,,,,
40,48,False,False,False,0.140767365694,0.950390040874,0.950390040874,0.950390040874,0.110875666142,0.965123474598,0.965123474598,0.965123474598,"[[2851  282]
 [ 268 3079]]"
40,48,True,False,False,0.15126952529,0.943041324615,0.943041324615,0.943041324615,0.1237218678,0.956481516361,0.956481516361,0.956481516361,"[[2797  336]
 [ 174 3173]]"
40,48,False,False,False,0.174291312695,0.93742865324,0.93742865324,0.93742865324,0.157554492354,0.948611140251,0.948611140251,0.948611140251,"[[2791  342]
 [ 201 3146]]"
40,48,True,False,False,,,,,,,,,
40,48,False,False,False,,,,,,,,,
40,48,False,False,False,0.0558388903737,0.982322990894,0.982322990894,0.982322990894,0.247414603829,0.944290161133,0.944290161133,0.944290161133,"[[2757  376]
 [ 246 3101]]"
40,48,True,False,False,,,,,,,,,
40,48,False,False,False,0.0993877053261,0.965206444263,0.965206444263,0.965206444263,0.0998801365495,0.968055605888,0.968055605888,0.968055605888,"[[2991  142]
 [ 158 3189]]"
40,48,True,False,False,0.0297851711512,0.989987671375,0.989987671375,0.989987671375,0.123070277274,0.973456859589,0.973456859589,0.973456859589,"[[2931  202]
 [ 187 3160]]"
40,48,False,True,False,0.0824643075466,0.972198426723,0.972198426723,0.972198426723,0.0947228074074,0.97160500288,0.97160500288,0.97160500288,"[[2988  145]
 [ 154 3193]]"
40,48,False,False,True,0.140076875687,0.94606167078,0.94606167078,0.94606167078,0.131792262197,0.947685241699,0.947685241699,0.947685241699,"[[3055   78]
 [ 249 3098]]"
40,48,True,False,True,0.00406385026872,0.998549282551,0.998549282551,0.998549282551,0.159138798714,0.972685217857,0.972685217857,0.972685217857,"[[2970  163]
 [ 100 3247]]"
40,48,False,True,True,0.00356549792923,0.998620629311,0.998620629311,0.998620629311,0.245307460427,0.973148167133,0.973148167133,0.973148167133,"[[2973  160]
 [ 182 3165]]"
