batch_size,epochs,learning_rate,optimizer,bottleneck_size,kernel_size,l1_r,l2_r,module_activation,module_output_activation,nr_modules,num_filters,output_activation,reg_module,reg_shortcut,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
512,100,0.1,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,,,,,,,,
512,100,0.01,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6940686106681824,0.507712721824646,0.0,0.0,0.6941189169883728,0.5070891380310059,0.0,0.0
512,100,0.0005,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6335538029670715,0.5909129977226257,0.5544039607048035,0.8586827516555786,0.6826714277267456,0.5703848600387573,0.5414103269577026,0.8394482135772705
64,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6657969951629639,0.5704331398010254,0.5465427041053772,0.7430962324142456,0.6750555038452148,0.5682528614997864,0.5454545617103577,0.7390739917755127
128,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6603009700775146,0.5715482831001282,0.5467931628227234,0.7538043856620789,0.6769930720329285,0.5606533885002136,0.5391796827316284,0.741381824016571
256,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6557865738868713,0.5737926363945007,0.5440914630889893,0.8282020688056946,0.6737304925918579,0.5632102489471436,0.5372750759124756,0.8139333724975586
768,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6929783821105957,0.5077695846557617,0.0,0.0,0.6930338740348816,0.5070891380310059,0.0,0.0
1024,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.69287109375,0.5077119469642639,0.0,0.0,0.692795991897583,0.5082632303237915,0.0,0.0
512,100,0.001,rmsprop,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6790637969970703,0.5791372060775757,0.5523454546928406,0.7637754082679749,0.6825629472732544,0.5685763955116272,0.5456891059875488,0.7449368834495544
512,100,0.001,sgd,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.693252444267273,0.5077840089797974,0.0,0.0,0.6932327747344971,0.5070891380310059,0.0,0.0
512,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,30,sigmoid,False,True,relu,True,False,0.6378093361854553,0.5905993580818176,0.5547929406166077,0.8482476472854614,0.6877350807189941,0.5706018805503845,0.5426379442214966,0.8199295401573181
512,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,34,sigmoid,False,True,relu,True,False,0.6433622241020203,0.5710965991020203,0.5602836608886719,0.5972713232040405,0.6760163307189941,0.5534577369689941,0.544176459312439,0.5793953537940979
512,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,36,sigmoid,False,True,relu,True,False,0.6524899005889893,0.5757727026939392,0.5559027194976807,0.6855371594429016,0.6713324785232544,0.5617042779922485,0.5452909469604492,0.6670091152191162
512,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,40,sigmoid,False,True,relu,True,False,0.6912422776222229,0.5747034549713135,0.552196741104126,0.7208662629127502,0.69140625,0.5733506679534912,0.5519274473190308,0.7144114971160889
512,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,42,sigmoid,False,True,relu,True,False,0.6516594290733337,0.5827440619468689,0.5530824065208435,0.7937675714492798,0.6675708889961243,0.5695167779922485,0.5446363687515259,0.7726739048957825
512,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,44,sigmoid,False,True,relu,True,False,0.6447807550430298,0.5706974267959595,0.5576352477073669,0.615638792514801,0.6847692131996155,0.5572916865348816,0.5464152097702026,0.5995010137557983
512,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,46,sigmoid,False,True,relu,True,False,0.6838575005531311,0.5695141553878784,0.534717321395874,0.965415358543396,0.6858181357383728,0.5591000914573669,0.529445469379425,0.9486351609230042
512,100,0.001,adam,30,50,0.1,0.1,linear,tanh,3,38,sigmoid,False,True,relu,True,False,0.6813412308692932,0.5393618941307068,0.5615972280502319,0.2917149364948272,0.7228551506996155,0.5338541865348816,0.5532527565956116,0.2820663452148437
512,100,0.001,adam,30,50,0.1,0.1,relu,tanh,3,38,sigmoid,False,True,relu,True,False,0.7143982648849487,0.5215556621551514,0.6317477226257324,0.0684304982423782,0.7341217994689941,0.5120081305503845,0.5521472096443176,0.0528324022889137
512,100,0.001,adam,30,50,0.1,0.1,tanh,tanh,3,38,sigmoid,False,True,relu,True,False,0.6595253944396973,0.5743470788002014,0.5447962880134583,0.823536217212677,0.6687644720077515,0.5750868320465088,0.5458894968032837,0.8205165863037109
512,100,0.001,adam,30,50,0.1,0.1,sigmoid,tanh,3,38,sigmoid,False,True,relu,True,False,0.6431270241737366,0.5849252939224243,0.5554297566413879,0.7820289731025696,0.6745153069496155,0.5751591324806213,0.5495002865791321,0.7665101289749146
512,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6834903955459595,0.5771840810775757,0.5522815585136414,0.7433943748474121,0.6856734752655029,0.5591000914573669,0.5393886566162109,0.7224830985069275
512,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,True,12.63590145111084,0.5827155709266663,0.5469943284988403,0.8858218789100647,12.64669132232666,0.5710358619689941,0.5400217175483704,0.8752568364143372
512,100,0.001,adam,30,50,0.1,0.1,softmax,relu,3,38,sigmoid,False,True,relu,True,False,0.6400440335273743,0.5886319279670715,0.5553752779960632,0.8229432106018066,0.6802481412887573,0.5701678395271301,0.5441742539405823,0.7882301211357117
512,100,0.001,adam,30,50,0.1,0.1,softmax,linear,3,38,sigmoid,False,True,relu,True,False,0.6424747705459595,0.5895016193389893,0.5498940944671631,0.916999578475952,0.6759620904922485,0.5760272145271301,0.5423517823219299,0.8955092430114746
512,100,0.001,adam,30,50,0.1,0.1,softmax,sigmoid,3,38,sigmoid,False,True,relu,True,False,0.6917092204093933,0.573235034942627,0.5445668697357178,0.8153133392333984,0.6917136907577515,0.5760995149612427,0.546545684337616,0.8219841718673706
512,100,0.001,adam,30,50,0.1,0.1,softmax,softmax,3,38,sigmoid,False,True,relu,True,False,0.6931063532829285,0.507712721824646,0.0,0.0,0.6930699944496155,0.5070891380310059,0.0,0.0
512,100,0.001,adam,30,50,0.01,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6808244585990906,0.5818316340446472,0.5502589344978333,0.8246076107025146,0.6831778287887573,0.5700954794883728,0.5429444909095764,0.8080422878265381
512,100,0.001,adam,30,50,0.001,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6814624071121216,0.5823876857757568,0.5468820333480835,0.8828727006912231,0.6844075322151184,0.5744357705116272,0.5427495837211609,0.8673319816589355
512,100,0.001,adam,30,50,0.0001,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6916486024856567,0.570212721824646,0.5468476414680481,0.7409863471984863,0.6918583512306213,0.5713252425193787,0.5481666326522827,0.7415614724159241
512,100,0.001,adam,30,50,0.0,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6827062964439392,0.5735772252082825,0.5372642278671265,0.9628642797470092,0.6851851940155029,0.5653935074806213,0.5333002805709839,0.9471675753593444
512,100,0.001,adam,24,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6374529600143433,0.5922245383262634,0.5543922781944275,0.8716997504234314,0.6873915195465088,0.5737124085426331,0.5434311032295227,0.8456119894981384
512,100,0.001,adam,26,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6398801207542419,0.5860800743103027,0.5533995628356934,0.8215910792350769,0.6892903447151184,0.5627893805503845,0.5379834175109863,0.8002641797065735
512,100,0.001,adam,28,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6445562243461609,0.5846116542816162,0.5504188537597656,0.8509183526039124,0.7018771767616272,0.5656828880310059,0.5388302803039551,0.8247725367546082
512,100,0.001,adam,32,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.651905357837677,0.5783531069755554,0.5601053833961487,0.6655846834182739,0.7169415354728699,0.5601851940155029,0.5460014939308167,0.6392720937728882
512,100,0.001,adam,34,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,,,,,,,,
512,100,0.001,adam,34,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6234068274497986,0.5982550382614136,0.5574469566345215,0.8900640606880188,0.7131618857383728,0.5742911100387573,0.5430212020874023,0.8604344129562378
512,75,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,0.6210652589797974,0.5973141193389893,0.5668149590492249,0.7683075070381165,0.7083694934844971,0.5692997574806213,0.5473881363868713,0.7289404273033142
512,100,0.001,adam,30,50,0.1,0.1,softmax,tanh,3,38,sigmoid,False,True,relu,True,False,nan,nan,nan,nan,nan,nan,nan,nan
