batch_size,epochs,learning_rate,optimizer,units,dense_activation,output_layer_activation,train_loss,train_accuracy,train_precision,train_recall,train_f3,val_loss,val_accuracy,val_precision,val_recall,val_f3,confusion_matrix
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
128,10,0.01,sgd,50,relu,sigmoid,,,,,,,,,,,
