optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,6,0.0001,50,512,False,100,same,sigmoid,0.1,0.3,82,50,0.1,"[1, 2, 4, 4, 2, 1]",tanh,529.702941895,0.840630054474,0.939849674702,0.724210441113,529.702331543,0.843489646912,0.936603307724,0.735009133816
rmsprop,3,0.0001,50,512,False,120,same,sigmoid,0.2,0.2,76,30,0.5,"[1, 0.5, 0.25]",relu,635.372497559,0.603997588158,0.977712512016,0.204581558704,635.372436523,0.597656309605,0.983827471733,0.191701695323
adam,1,0.01,50,64,False,280,same,sigmoid,0.01,0.3,24,48,0.3,[1],relu,1.17352831364,0.815924286842,0.779889404774,0.874987185001,1.17501413822,0.813516318798,0.777777791023,0.874104380608
rmsprop,5,0.1,50,512,True,380,same,sigmoid,0.001,0.0001,76,14,0.3,"[1, 4, 8, 8, 4]",relu,1.33970451355,0.800045669079,0.812328696251,0.77488976717,1.322717309,0.798697948456,0.810292899609,0.776291668415
adam,5,0.01,50,64,False,260,same,sigmoid,0.3,0.001,58,20,0.001,"[1, 2, 4, 4, 2]",relu,0.611480534077,0.743430376053,0.692708790302,0.865148961544,0.611471354961,0.740472614765,0.68933224678,0.867537856102
sgd,4,0.1,50,512,False,300,same,sigmoid,0.01,0.01,26,16,0.01,"[1, 2, 4, 4]",relu,0.872076749802,0.788250803947,0.980091392994,0.583508610725,0.873868107796,0.788671910763,0.979276895523,0.584935486317
sgd,5,0.0001,50,64,True,340,same,sigmoid,0.3,0.001,30,12,0.3,"[1, 2, 4, 4, 2]",relu,7.15017557144,0.582893669605,0.909822821617,0.173863992095,7.14985132217,0.576346576214,0.903225779533,0.164705887437
sgd,4,0.01,50,128,False,220,same,sigmoid,0.01,0.001,36,20,0.01,"[1, 1, 1, 1]",softmax,0.942686796188,0.505047678947,0.0,0.0,0.942719578743,0.503458023071,0.0,0.0
sgd,1,0.01,50,256,False,180,same,sigmoid,0.0001,0.3,84,48,0.4,[1],sigmoid,2.78499007225,0.597225010395,0.97773706913,0.191171199083,2.78507304192,0.587500035763,0.980683505535,0.173001304269
rmsprop,3,0.0001,50,64,True,440,same,sigmoid,0.001,0.3,60,40,0.2,"[1, 2, 4]",sigmoid,1.70284414291,0.505453526974,0.0,0.0,1.70291233063,0.504573225975,0.0,0.0
sgd,1,0.0001,50,256,True,460,same,sigmoid,0.01,0.2,2,70,0.2,[1],relu,7.52337026596,0.855341911316,0.943798601627,0.752689242363,7.53319644928,0.850260436535,0.940826416016,0.745611727238
sgd,4,0.01,50,1024,False,200,same,sigmoid,0.001,0.3,6,42,0.001,"[1, 4, 8, 8]",softmax,1.11163520813,0.4951171875,0.4951171875,1.0,1.11161589622,0.499581485987,0.499581485987,1.0
sgd,3,0.01,50,64,False,380,same,sigmoid,0.0001,0.2,96,18,0.0,"[1, 4, 8]",softmax,3.25791168213,0.505022346973,0.0,0.0,3.25783228874,0.510289669037,0.0,0.0
sgd,4,0.01,50,1024,True,340,same,sigmoid,0.2,0.2,98,62,0.1,"[1, 2, 4, 4]",relu,58.844455719,0.634200274944,0.955821871758,0.276447147131,58.8517570496,0.635881721973,0.955795705318,0.275014132261
adam,3,0.001,50,128,True,440,same,sigmoid,0.001,0.001,26,74,0.0,"[1, 0.5, 0.25]",softmax,0.867942392826,0.504768669605,0.0,0.0,0.867870330811,0.509093284607,0.0,0.0
sgd,6,0.001,50,512,True,120,same,sigmoid,0.01,0.1,48,26,0.001,"[1, 4, 8, 8, 4, 1]",tanh,57.477230072,0.852171242237,0.864954411983,0.830794513226,57.4767799377,0.851692736149,0.862620711327,0.829883277416
sgd,6,0.001,50,64,False,140,same,sigmoid,0.001,0.2,64,76,0.2,"[1, 2, 4, 4, 2, 1]",relu,10.7083730698,0.504946231842,0.0,0.0,10.7083520889,0.509654521942,0.0,0.0
sgd,4,0.0001,50,64,False,280,same,sigmoid,0.2,0.2,66,46,0.001,"[1, 2, 4, 4]",relu,0.594006299973,0.882913947105,0.938010931015,0.817436337471,0.594302654266,0.881605744362,0.935560882092,0.81412255764
sgd,4,0.01,50,128,True,210,same,sigmoid,0.2,0.0001,20,46,0.01,"[1, 1, 1, 1]",tanh,0.194387570024,0.951324045658,0.954898118973,0.946332454681,0.188989832997,0.953253149986,0.959241986275,0.946707725525
sgd,1,0.1,50,256,True,100,same,sigmoid,0.01,0.0001,38,40,0.3,[1],tanh,0.14206969738,0.957639992237,0.956010818481,0.958557486534,0.135677173734,0.96223962307,0.955749869347,0.967024147511
sgd,4,0.01,50,256,False,110,same,sigmoid,0.3,0.01,16,52,0.1,"[1, 4, 8, 8]",tanh,0.391903430223,0.916167795658,0.952967524529,0.873492479324,0.388386964798,0.917838573456,0.949449360371,0.881489276886
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0760380849242,0.974381089211,0.990145206451,0.957769632339,0.0845447927713,0.971544802189,0.9874599576,0.954357922077
