,batch_size,epochs,learning_rate,optimizer,start_neurons,dropout_rate,filters,kernel_size,padding,l2_r,l1_r,activation,output_layer_activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
0,64,35,0.01,rmsprop,sigmoid,0,11,7,0.2,0.1,softmax,same,32,772.07220459,0.326875001192,0.0,0.0,772.071533203,0.335763901472,0.0,0.0
1,16,35,0.01,adam,sigmoid,0.1,13,3,0.001,0.0001,softmax,same,256,7.72176933289,0.325980395079,0.0,0.0,7.71574831009,0.335416674614,0.0,0.0
2,512,35,0.0001,rmsprop,relu,0,11,11,0.3,0.2,softmax,same,16,23.9668369293,0.400390625,0.583333313465,0.00455729151145,23.9657363892,0.362630218267,0.636363625526,0.00455729151145
3,128,35,1e-05,rmsprop,softmax,0.001,21,9,0.2,0.3,softmax,same,512,477.824676514,0.354817718267,0.0,0.0,477.825439453,0.311141312122,0.0,0.0
4,64,30,0.1,rmsprop,softmax,0,17,13,0.0001,0.01,softmax,same,512,385.544494629,0.326875001192,0.0,0.0,385.540985107,0.335416674614,0.0,0.0
5,128,25,0.01,sgd,sigmoid,0.4,13,5,0.1,0.0001,sigmoid,same,32,39.3522529602,0.354817718267,0.333333343267,1.0,39.3566589355,0.311480969191,0.333333343267,1.0
6,256,35,0.0001,sgd,relu,0.4,25,7,0.001,0.01,sigmoid,same,32,16.5297756195,0.415364593267,0.338611185551,0.974609375,16.5021266937,0.381510406733,0.338724374771,0.968098938465
7,1024,35,0.001,sgd,softmax,0.01,11,11,0.2,0.001,sigmoid,same,512,258.691833496,0.3447265625,0.33837890625,0.6767578125,258.691864014,0.310872405767,0.324055999517,0.648111999035
8,256,30,0.1,rmsprop,tanh,0.01,15,7,0.2,0.2,softmax,same,128,32604.6699219,0.389322906733,0.468354433775,0.0240885410458,32604.6796875,0.3466796875,0.630434811115,0.0283203125
9,256,30,0.01,rmsprop,tanh,0.001,21,13,0.1,0.2,sigmoid,same,1024,13412.6884766,0.334635406733,0.333333343267,1.0,13412.6523438,0.337565094233,0.333333343267,1.0
10,512,30,1e-05,sgd,relu,0,11,9,0.1,0.01,sigmoid,same,1024,32068.7519531,0.345052093267,0.337231963873,0.67578125,32067.9472656,0.3173828125,0.321196347475,0.643229186535
11,64,25,0.0001,adam,softmax,0.5,17,11,0.01,0.1,softmax,same,256,8.71306419373,0.358125001192,0.0,0.0,8.71386623383,0.3125,0.0,0.0
12,64,30,1e-05,adam,softmax,0.5,11,5,0.1,0.001,sigmoid,same,16,6.86939764023,0.326875001192,0.333333343267,1.0,6.86975765228,0.335763901472,0.333333343267,1.0
13,64,30,0.01,sgd,sigmoid,0.01,25,7,0.1,0.001,sigmoid,same,16,20.2898921967,0.358125001192,0.333333343267,1.0,20.2911014557,0.312847226858,0.333333343267,1.0
14,128,30,0.001,adam,softmax,0.4,13,5,0.3,0.1,sigmoid,same,1024,963.070373535,0.33203125,0.333333343267,1.0,963.071594238,0.336616843939,0.333333343267,1.0
15,32,30,0.001,sgd,softmax,0,11,13,0.1,0.2,softmax,same,256,32.4886436462,0.35600489378,0.0,0.0,32.4892578125,0.3125,0.0,0.0
16,16,30,0.001,adam,sigmoid,0.4,15,7,0.3,0.001,softmax,same,32,28.174325943,0.325980395079,0.0,0.0,28.1749324799,0.335416674614,0.0,0.0
17,512,35,0.001,adam,relu,0.4,17,9,0.0001,0.3,sigmoid,same,128,51.8905181885,0.478515625,0.641304373741,0.0384114570916,51.8632316589,0.468098968267,0.589887619019,0.0341796875
18,128,35,0.01,adam,tanh,0,11,5,0.2,0.0001,softmax,same,64,334.182952881,0.358072906733,0.0,0.0,334.184875488,0.314538031816,0.0,0.0
19,32,35,0.001,adam,sigmoid,0,19,5,0.01,0.3,softmax,same,16,1.56440079212,0.324142158031,0.0,0.0,1.56528842449,0.335416674614,0.0,0.0
20,512,35,0.0001,sgd,tanh,0,21,11,0.001,0.01,sigmoid,same,32,16.7405433655,0.365234375,0.351721286774,0.552083313465,16.74650383,0.331705719233,0.344088256359,0.5380859375
21,512,25,0.001,rmsprop,softmax,0.2,17,3,0.001,0.3,sigmoid,same,512,16.0072860718,0.349609375,0.333333343267,1.0,16.0085964203,0.312825530767,0.333333343267,1.0
22,1024,30,0.01,adam,relu,0.01,23,13,0.1,0.001,softmax,same,16,45.1777191162,0.353515625,0.0,0.0,45.1746711731,0.372721344233,0.0,0.0
23,32,25,0.1,rmsprop,tanh,0.2,21,11,0.001,0.0001,softmax,same,1024,1596.40429688,0.32475489378,0.325203239918,0.31862744689,1596.2869873,0.356249988079,0.354255318642,0.346875011921
24,64,25,0.1,rmsprop,sigmoid,0.01,11,13,0.001,0.3,softmax,same,64,1236.94213867,0.323125004768,0.0,0.0,1236.93188477,0.359722226858,0.0,0.0
25,512,30,0.01,adam,sigmoid,0.4,23,9,0.01,0.0001,sigmoid,same,256,76.9055480957,0.349609375,0.333333343267,1.0,76.9062728882,0.3125,0.333333343267,1.0
26,16,35,0.001,sgd,relu,0.1,15,13,0.1,0.0001,sigmoid,same,32,4.95645427704,0.32475489378,0.341605395079,0.683210790157,4.95679950714,0.334722220898,0.324131935835,0.64826387167
27,64,35,0.0001,adam,relu,0,25,9,0.2,0.001,softmax,same,1024,62.1614608765,0.326875001192,0.0,0.0,62.162071228,0.335763901472,0.0,0.0
28,16,30,1e-05,adam,relu,0.5,17,9,0.0001,0.01,softmax,same,16,1.82962274551,0.419730395079,0.567567586899,0.0128676472232,1.89430749416,0.365972220898,0.43548387289,0.00937500037253
29,64,35,0.1,adam,sigmoid,0.001,11,7,0.3,0.1,sigmoid,same,128,7232.515625,0.326875001192,0.333333343267,1.0,7232.51367188,0.335416674614,0.333333343267,1.0
